episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
2645.300162467758,-2952.29670088654,1233.9023891748734,3000.0,20,60000,False,1260000,420,21,80a62af174064170875b539d853081e6,2023-04-24_21-11-40,1682370700,205.714008808136,4317.458889007568,8673,ubuntu1804,10.128.0.3,4317.458889007568,1260000,21,2,894c9fe2,0,4.771529382120061,1.248476965933029,0.601121842536155,1257984,1260000,199433.852,7.793,6004.512,4.07,51.90341296928328,24.474744027303757,0.02500000037252903,4.999999873689376e-05,158.34184,-0.0010470792,158.34265,-9.169946e-09,0.009795902,-1.4215925,0.0
2663.0347794377963,-2022.1332199517271,1378.910965637245,3000.0,20,60000,False,1320000,440,22,80a62af174064170875b539d853081e6,2023-04-24_21-15-05,1682370905,205.27978539466858,4522.738674402237,8673,ubuntu1804,10.128.0.3,4522.738674402237,1320000,22,2,894c9fe2,0,4.771515557099356,1.2482697032850978,0.6012798652876811,1317888,1320000,199308.113,7.771,6005.131,4.042,51.72696245733788,24.49590443686007,0.012500000186264515,4.999999873689376e-05,120.07866,-0.0012730135,120.07981,-5.731216e-09,0.009872453,-1.2489542,0.0
2768.8037115807247,-2022.1332199517271,1444.4037206758057,3000.0,20,60000,False,1380000,460,23,80a62af174064170875b539d853081e6,2023-04-24_21-18-32,1682371112,207.3696141242981,4730.108288526535,8673,ubuntu1804,10.128.0.3,4730.108288526535,1380000,23,2,894c9fe2,0,4.77171673128285,1.247985922641379,0.6014564500136936,1377792,1380000,199386.852,7.699,6002.417,4.052,51.67804054054054,24.497297297297298,0.0062500000931322575,4.999999873689376e-05,151.21237,-0.00075328094,151.21307,-5.9859366e-09,0.0101557225,-1.4118435,0.0
2768.8037115807247,-831.7332686524924,1607.879580714662,3000.0,20,60000,False,1440000,480,24,80a62af174064170875b539d853081e6,2023-04-24_21-21-59,1682371319,206.92091751098633,4937.029206037521,8673,ubuntu1804,10.128.0.3,4937.029206037521,1440000,24,2,894c9fe2,0,4.772217171879783,1.2475803071837819,0.6016202467442455,1437696,1440000,199574.344,7.685,6001.28,3.937,51.79050847457627,24.49864406779661,0.0062500000931322575,4.999999873689376e-05,168.73068,-0.00063127663,168.7313,-8.9152247e-10,0.0062699826,-1.5956856,0.0
2781.931898400422,-831.7332686524924,1776.9622781789194,3000.0,20,60000,False,1500000,500,25,80a62af174064170875b539d853081e6,2023-04-24_21-25-26,1682371526,207.1401708126068,5144.169376850128,8673,ubuntu1804,10.128.0.3,5144.169376850128,1500000,25,2,894c9fe2,0,4.773339995176669,1.2470648743121713,0.6017599029186116,1497600,1500000,199810.293,7.708,6004.362,3.949,51.84628378378378,24.5,0.0031250000465661287,4.999999873689376e-05,203.08325,-0.00035859644,203.08357,-5.731216e-09,0.010960331,-1.6469864,0.0
2781.931898400422,-497.15097700379124,1742.2184724640604,3000.0,20,60000,False,1560000,520,26,80a62af174064170875b539d853081e6,2023-04-24_21-28-52,1682371732,205.7789831161499,5349.948359966278,8673,ubuntu1804,10.128.0.3,5349.948359966278,1560000,26,2,894c9fe2,0,4.774429757040391,1.246749644197488,0.6019215345549457,1557504,1560000,200004.797,7.696,6006.173,3.963,51.89692832764505,24.50853242320819,0.0031250000465661287,4.999999873689376e-05,120.62774,-0.00094674743,120.62865,-5.6038556e-09,0.0093322275,-1.5084717,0.0
2864.179899273738,-497.15097700379124,1835.7295938085035,3000.0,20,60000,False,1620000,540,27,80a62af174064170875b539d853081e6,2023-04-24_21-32-20,1682371940,207.72230529785156,5557.67066526413,8673,ubuntu1804,10.128.0.3,5557.67066526413,1620000,27,2,894c9fe2,0,4.7760334301577885,1.2465193500388922,0.6020960587841323,1617408,1620000,200256.53,7.669,6006.518,3.803,51.78383838383838,24.536363636363635,0.0015625000232830644,4.999999873689376e-05,192.06711,-0.00013986886,192.06725,-1.1462432e-08,0.008843614,-1.7794706,0.0
2864.179899273738,-497.15097700379124,1880.0111941215282,3000.0,20,60000,False,1680000,560,28,80a62af174064170875b539d853081e6,2023-04-24_21-35-47,1682372147,206.91564011573792,5764.586305379868,8673,ubuntu1804,10.128.0.3,5764.586305379868,1680000,28,2,894c9fe2,0,4.7775009485830955,1.246289811029501,0.6022428072467,1677312,1680000,200343.775,7.665,6004.092,3.828,51.79050847457627,24.59152542372881,0.0007812500116415322,4.999999873689376e-05,164.20401,0.00011142897,164.2039,-5.8585763e-09,0.006041496,-1.7207994,0.0
2864.179899273738,-497.15097700379124,1824.6232433581906,3000.0,20,60000,False,1740000,580,29,80a62af174064170875b539d853081e6,2023-04-24_21-39-14,1682372354,207.51704454421997,5972.1033499240875,8673,ubuntu1804,10.128.0.3,5972.1033499240875,1740000,29,2,894c9fe2,0,4.778900926619436,1.2463344737971433,0.6024252613922205,1737216,1740000,200531.174,7.633,6002.398,3.753,51.78108108108108,24.595270270270266,0.0003906250058207661,4.999999873689376e-05,142.13441,-0.00020289638,142.13461,-3.948171e-09,0.004948799,-1.5908056,0.0
2864.179899273738,-59.841712230172945,1769.4372341557103,3000.0,20,60000,False,1800000,600,30,80a62af174064170875b539d853081e6,2023-04-24_21-42-40,1682372560,206.25326323509216,6178.35661315918,8673,ubuntu1804,10.128.0.3,6178.35661315918,1800000,30,2,894c9fe2,0,4.7798271430818575,1.2463362367800541,0.602582596381215,1797120,1800000,200640.383,7.646,6000.599,3.759,51.64625850340136,24.59897959183673,0.00019531250291038305,4.999999873689376e-05,158.99396,-1.9517529e-05,158.99397,-8.023703e-09,0.008483871,-1.5845793,0.0
